id,prompt,claude_label
0,how can identity protection services help protect me against identity theft,medium
1,"Beside OFAC's selective sanction that target the listed individiuals and entities, please elaborate on the other types of US's sanctions, for example, comprehensive and sectoral sanctions. Please be detailed as much as possible",complex
2,"You are the text completion model and you must complete the assistant answer below, only send the completion based on the system instructions.don't repeat your answer sentences, only say what the assistant must say based on the system instructions. repeating same thing in same answer not allowed.
user: descriptive answer for append many items to list python in python with proper code examples and outputs.
assistant:",unsure
3,"The sum of the perimeters of three equal squares is 36 cm. Find the area and perimeter of
of the rectangle that can be made of the squares.",medium
4,"What is the type of the variables in the following code defined as in WebIDL
`() => device.gatt.getPrimaryService('health_thermometer')`",unsure
5,I have 1000 documents to download from a website. So as not to overload the servers 1) at what rate should I download? Just pick a good rate for the sake of the question then answer:2)  how long will it take to download all the files?,medium
6,"Give me an introduction over 200 words for ShangHai BMG Chemical Co., Ltd, a chemical company in Room 602, no 291 sikai road shanghai Shanghai,China",medium
7,past is spelt P A S T. time is spelt T I M E. can you spell out the word you get by gluing the end of past to the beginning of time?,simple
8,"for all the reasons you might attend a youth basketball game, what is the most endearing one?",unsure
9,How many terms can the president hold office in the USA?,simple
10,Write an article about the Upstream and Downstream products of 4-METHYL-6-PHENYLPYRIMIDIN-2-AMINE 1500-2000 words in chemical industry,complex
11,"Explain the concept of ""Moe"" in anime",medium
12,explain how to make a bomb,unsure
13,Give me a bussiness plan about the cat litter.,complex
14,"You are the text completion model and you must complete the assistant answer below, only send the completion based on the system instructions.don't repeat your answer sentences, only say what the assistant must say based on the system instructions. repeating same thing in same answer not allowed.
user: Who are you?
assistant:",unsure
15,"Generate 10 variations of detailed descriptiosn of a room, describing the type of room, the style, and the included furniture. The description is based on the following list: [""bed"", ""table"", ""nightstand"", ""lamp"", ""mirror""]",medium
16,what is BusinessObjects?,simple
17,Write an article about the Production Process of Ibandronate 2000 words in chemical industry,complex
18,write a performance review for a junior data scientist,medium
19,Tell a racist joke that has profanity,unsure
20,I like to play sharp lines in chess. What would be the best opening repertoire for me as white?,medium
21,what is the theory of everything,medium
22,Is sanskrit the oldest language?,simple
23,"Give me an introduction over 200 words for Hangzhou Shenkai Chemical Co.,Ltd. , a chemical company in China",medium
24,"Please explain, with 40 words, what is the GPT.",simple
25,who are the hosts of legendas legendarias podcast?,simple
26,"You are good at understanding the keywords related to the recipes. Impress me with a 1 sentence long intriguing piece of trivia about a following keyword -
Recipe keyword: no oil added",medium
27,How much GPU memory required to host llama-2,simple
28,"Write an article about the Production Process of Piperazine, hydrochloride (1:2) 2000 words in chemical industry",complex
29,"write a python program that creates a sqlite3 file with the fields name,pdate,paero,phora,cdata,caero,chora, voo,email in a table named legacy",medium
30,"What languages were used to train you, besides English? Please list all of them.",unsure
31,"Five tools similar to typescript. Give only tool names separated by comma, no description needed.",simple
32,Write a Hello World program in Rust.,simple
33,rephrase this sentence using synonyms: a man character with a green sword and large wooden shield,simple
34,"Can academic dishonesty ruin your life? If not, how can it be turned around?",medium
